Item,Category,Calories,FatCalories,Fat,SatFat,TransFat,Cholesterol,Sodium,TotalCarb,DietaryFiber,Sugars,Protein,WeightWatchers
"Waffle Breakfast Slider w/Sausage, Egg, Jalapeño Cheese",Breakfast,490.0,320.0,36.0,15.0,0.0,240.0,730.0,28.0,0.0,14.0,15.0,504.0
"Waffle Breakfast Slider w/Sausage, Egg, Cheddar Cheese",Breakfast,490.0,320.0,36.0,15.0,0.0,240.0,730.0,28.0,0.0,14.0,15.0,504.0
"Waffle Breakfast Slider w/Bacon, Egg, Cheese",Breakfast,390.0,230.0,26.0,11.0,0.0,220.0,570.0,27.0,0.0,14.0,12.0,403.0
"Waffle Breakfast Slider w/Bacon, Egg, Jalapeño Cheese",Breakfast,390.0,240.0,27.0,11.0,0.0,225.0,610.0,27.0,0.0,14.0,13.0,402.0
"Waffle Breakfast Slider w/Bacon, Egg, Cheddar Cheese",Breakfast,390.0,240.0,27.0,11.0,0.0,225.0,610.0,27.0,0.0,14.0,13.0,402.0
"Waffle Breakfast Slider w/Bologna, Egg, Cheese",Breakfast,480.0,300.0,33.0,13.0,0.0,240.0,890.0,29.0,0.0,15.0,15.0,493.0
"Waffle Breakfast Slider w/Bologna, Egg, Jalapeño Cheese",Breakfast,490.0,300.0,34.0,13.0,0.0,240.0,910.0,29.0,0.0,15.0,15.0,503.0
"Waffle Breakfast Slider w/Bologna, Egg, Cheddar Cheese",Breakfast,490.0,300.0,34.0,13.0,0.0,245.0,920.0,29.0,0.0,15.0,16.0,502.0
Cinnamon Donuts,Breakfast,150.0,70.0,8.0,4.0,0.0,0.0,160.0,22.0,1.0,10.0,2.0,162.0
Chocolate Covered Donuts,Breakfast,160.0,80.0,9.0,6.0,0.0,0.0,150.0,21.0,1.0,12.0,2.0,176.0
Glazed Donuts,Breakfast,160.0,80.0,9.0,6.0,0.0,0.0,150.0,21.0,1.0,12.0,2.0,176.0
Powdered Sugar Donuts,Breakfast,150.0,70.0,8.0,4.0,0.0,0.0,160.0,22.0,1.0,10.0,2.0,162.0
Plain Donuts,Breakfast,150.0,70.0,8.0,4.0,0.0,0.0,160.0,22.0,1.0,10.0,2.0,162.0
Two Waffles w/Syrup,Breakfast,280.0,90.0,10.0,5.0,0.0,40.0,200.0,46.0,0.0,23.0,2.0,306.0
